1009994,0.15,1.97
1010014,0.19,2.01
1010029,0.19,2.01
1010044,0.19,2.01
1010058,0.23,1.98
1010073,0.23,1.98
1010088,0.23,1.98
1010104,0.23,1.98
1010118,0.29,1.95
1010133,0.29,1.95
1010149,0.29,1.95
1010164,0.29,1.95
1010178,0.34,1.88
1010194,0.34,1.88
1010208,0.34,1.88
1010223,0.34,1.88
1010238,0.38,1.86
1010253,0.38,1.86
1010268,0.38,1.86
1010283,0.38,1.86
1010298,0.42,1.92
1010313,0.42,1.92
1010328,0.42,1.92
1010343,0.42,1.92
1010359,0.46,1.83
1010374,0.46,1.83
1010388,0.46,1.83
1010539,0.46,1.83
1010554,0.49,1.77
1010569,0.49,1.77
1011525,0.49,1.77
1011540,0.53,1.72
1011555,0.53,1.72
1011570,0.53,1.72
1012539,0.53,1.72
1012553,0.56,1.63
1012568,0.56,1.63
1013532,0.56,1.63
1013547,0.56,1.63
1013562,0.60,1.71
1014526,0.60,1.71
1014540,0.60,1.71
1014554,0.60,1.71
1014569,0.64,1.78
1015538,0.64,1.78
1015553,0.64,1.78
1015568,0.64,1.78
1016532,0.68,1.79
1016547,0.68,1.79
1016561,0.68,1.79
1017526,0.68,1.79
1017540,0.71,2.01
1017555,0.71,2.01
1017569,0.71,2.01
1018538,0.71,2.01
1018552,0.75,2.10
1018567,0.75,2.10
1019528,0.75,2.10
1019543,0.75,2.14
1019557,0.79,2.14
1019572,0.79,2.14
1020539,0.79,2.14
1020553,0.83,2.00
1020568,0.83,2.00
1021534,0.83,2.00
1021548,0.83,2.00
1021562,0.87,2.03
1022526,0.87,2.03
1022540,0.87,2.03
1022555,0.87,2.03
1022569,0.90,2.03
1023538,0.90,2.03
1023552,0.90,2.03
1023566,0.90,2.03
1024532,0.92,1.86
1024547,0.92,1.86
1024562,0.92,1.86
1025525,0.92,1.86
1025540,0.94,1.79
1025554,0.94,1.79
1025569,0.94,1.79
1026539,0.94,1.79
1026554,0.94,1.92
1026568,0.94,1.92
1027532,0.94,1.92
1027547,0.94,1.92
1027562,0.92,1.82
1027577,0.92,1.82
1028538,0.92,1.82
1028553,0.89,1.92
1028568,0.89,1.92
1029537,0.89,1.92
1029552,0.89,1.92
1029567,0.86,1.88
1030526,0.86,1.88
1030540,0.86,1.88
1030555,0.86,1.88
1030570,0.82,1.91
1031539,0.82,1.91
1031553,0.82,1.91
1031568,0.82,1.91
1032532,0.75,2.05
1032546,0.75,2.05
1032561,0.75,2.05
1033526,0.75,2.05
1033540,0.74,1.97
1033555,0.74,1.97
1033570,0.74,1.97
1034538,0.74,1.97
1034553,0.68,2.05
1034568,0.68,2.05
1035532,0.68,2.05
1035547,0.68,2.05
1035561,0.64,1.91
1036525,0.64,1.91
1036540,0.64,1.91
1036555,0.64,1.83
1036570,0.59,1.83
1037538,0.59,1.83
1037553,0.59,1.83
1037568,0.56,1.75
1038528,0.56,1.75
1038543,0.56,1.75
1038558,0.56,1.75
1038573,0.52,1.65
1039539,0.52,1.65
1039554,0.52,1.65
1039569,0.52,1.65
1040535,0.48,1.78
1040550,0.48,1.78
1040564,0.48,1.78
1041526,0.48,1.78
1041541,0.44,1.73
1041556,0.44,1.73
1041571,0.44,1.73
1042539,0.44,1.73
1042554,0.41,1.76
1042569,0.41,1.76
1043533,0.41,1.76
1043547,0.41,1.76
1043562,0.37,1.64
1044525,0.37,1.64
1044540,0.37,1.64
1044555,0.37,1.64
1044570,0.33,1.69
1045538,0.33,1.69
1045553,0.33,1.69
1045568,0.30,1.74
1046532,0.30,1.74
1046547,0.30,1.74
1046561,0.30,1.74
1046576,0.26,1.70
1047538,0.26,1.70
1047552,0.26,1.70
1047567,0.26,1.70
1048538,0.22,1.76
1048553,0.22,1.76
1048567,0.22,1.76
1049526,0.22,1.76
1049541,0.18,1.72
1049555,0.18,1.72
1049570,0.18,1.72
1050538,0.18,1.72
1050553,0.14,1.64
1050568,0.14,1.64
1051533,0.14,1.64
1051548,0.14,1.64
1051563,0.10,1.62
1052526,0.10,1.62
1052540,0.10,1.62
1052555,0.06,1.69
1052569,0.06,1.69
1053538,0.06,1.69
1053553,0.06,1.69
1053567,0.04,1.81
1054533,0.04,1.81
1054547,0.04,1.81
1054561,0.04,1.81
1055525,0.03,1.79
1055539,0.03,1.79
1055554,0.03,1.79
1055568,0.03,1.79
1056538,0.04,1.91
1056553,0.04,1.91
1056567,0.04,1.91
1057528,0.04,1.91
1057542,0.05,1.88
1057557,0.05,1.88
1057571,0.05,1.88
1058538,0.05,1.88
1058552,0.08,1.87
1058567,0.08,1.87
1059534,0.08,1.87
1059549,0.08,1.87
1059563,0.13,1.95
1060526,0.13,1.95
1060541,0.13,1.95
1060556,0.13,1.88
1060571,0.16,1.88
1061539,0.16,1.88
1061554,0.16,1.88
1061569,0.21,1.99
1062532,0.21,1.99
1062547,0.21,1.99
1062562,0.21,1.99
1063526,0.24,1.95
1063540,0.24,1.95
1063555,0.24,1.95
1063570,0.24,1.95
1064538,0.31,1.93
1064553,0.31,1.93
1064568,0.31,1.93
1065532,0.31,1.93
1065547,0.35,1.97
1065562,0.35,1.97
1065577,0.35,1.97
1066538,0.35,1.97
1066553,0.39,2.12
1066568,0.39,2.12
1067539,0.39,2.12
1067553,0.39,2.12
1067568,0.43,2.10
1068526,0.43,2.10
1068541,0.43,2.10
1068555,0.43,2.10
1068570,0.46,2.12
1069539,0.46,2.12
1069554,0.46,2.12
1069569,0.50,2.03
1070532,0.50,2.03
1070546,0.50,2.03
1070560,0.50,2.03
1071526,0.54,1.93
1071540,0.54,1.93
1071555,0.54,1.93
1071570,0.54,1.93
1072538,0.57,1.74
1072553,0.57,1.74
1072568,0.57,1.74
1073532,0.57,1.74
1073547,0.61,1.75
1073562,0.61,1.75
1074525,0.61,1.75
1074540,0.61,1.75
1074555,0.65,1.68
1074569,0.65,1.68
1075539,0.65,1.68
1075554,0.65,1.68
1075569,0.70,1.73
1076529,0.70,1.73
1076543,0.70,1.73
1076558,0.70,1.73
1076572,0.73,1.61
1077539,0.73,1.61
1077554,0.73,1.61
1077569,0.73,1.60
1078534,0.77,1.60
1078549,0.77,1.60
1078563,0.77,1.60
1079526,0.80,1.81
1079540,0.80,1.81
1079554,0.80,1.81
1079569,0.80,1.81
1080539,0.84,1.85
1080553,0.84,1.85
1080568,0.84,1.85
